Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617570000.0 101.0 118 NA NA NA NA NA 1052 NA NA NA NA NA 2761 NA NA NA NA NA 2826 NA NA NA NA NA
1617570000.0 1010.0 NA 64 62 0 NA NA NA 979 993 0 NA NA NA 421 824 448 NA NA NA 470 753 477 NA NA
1617570000.0 102.0 119 NA NA NA NA NA 1052 NA NA NA NA NA 2581 NA NA NA NA NA 2668 NA NA NA NA NA
1617570000.0 1020.0 NA 91 38 0 71 NA NA 1038 953 0 1038 NA NA 1251 353 144 1112 NA NA 874 403 172 761 NA
1617570000.0 1040.1 NA 113 42 0 NA NA NA 1037 958 0 NA NA NA 972 286 258 NA NA NA 1061 328 292 NA NA
1617570000.0 10801.0 NA 216 419 0 127 220 NA 1247 1647 0 1030 1184 NA 9650 8562 2490 1009 1794 NA 2782 6103 2552 869 1810
1617570000.0 10804.0 NA 216 417 0 98 238 NA 1248 1636 0 1032 1255 NA 8629 8818 2452 964 1609 NA 2496 6209 2513 810 1585
1617570000.0 10807.0 NA 243 410 0 99 224 NA 1242 1659 0 1038 1212 NA 8262 9009 2513 962 1845 NA 2435 6366 2561 827 1702
1617570000.0 10825.0 NA 227 431 0 98 255 NA 1250 1671 0 1034 1230 NA 8553 9752 2335 1025 1975 NA 2449 6655 2415 852 1808
1617570000.0 10842.0 NA 244 425 0 100 248 NA 1257 1650 0 1038 1236 NA 8377 8412 2418 1018 1878 NA 2445 5778 2466 849 1739
1617570000.0 136.72411 NA 210 0 NA NA NA NA 1219 0 NA NA NA NA 6638 485 NA NA NA NA 4126 539 NA NA NA
1617570000.0 136.77211 NA 209 0 NA NA NA NA 1208 0 NA NA NA NA 6911 476 NA NA NA NA 4224 521 NA NA NA
1617570000.0 136.7801 NA 133 0 NA NA NA NA 1064 0 NA NA NA NA 1826 665 NA NA NA NA 1597 728 NA NA NA
1617570000.0 136.7802 NA 106 0 NA NA NA NA 1014 0 NA NA NA NA 1095 495 NA NA NA NA 1184 560 NA NA NA
1617570000.0 136.7803 NA 126 0 NA NA NA NA 1092 0 NA NA NA NA 2379 560 NA NA NA NA 2130 617 NA NA NA
1617570000.0 136.794 NA 135 462 0 NA NA NA 1099 1701 0 NA NA NA 2895 52714 1854 NA NA NA 1096 17500 1917 NA NA
1617570000.0 136.88 NA 136 502 0 NA NA NA 1090 1729 0 NA NA NA 2241 49727 1593 NA NA NA 930 16988 1649 NA NA
1617570000.0 149.0 78 198 407 0 NA NA 1004 1201 1637 0 NA NA 3955 4802 7593 2365 NA NA 2174 2404 5793 2432 NA NA
1617570000.0 23461.97 913 NA NA NA NA NA 2320 NA NA NA NA NA 58378 NA NA NA NA NA 17313 NA NA NA NA NA
1617570000.0 504.0 58 0 NA NA NA NA 946 0 NA NA NA NA 617 427 NA NA NA NA 580 471 NA NA NA NA
1617570000.0 505.0 60 0 NA NA NA NA 950 0 NA NA NA NA 579 433 NA NA NA NA 580 474 NA NA NA NA
1617570000.0 506.0 60 0 NA NA NA NA 950 0 NA NA NA NA 614 415 NA NA NA NA 602 465 NA NA NA NA
1617570000.0 507.0 55 0 NA NA NA NA 944 0 NA NA NA NA 2996 436 NA NA NA NA 1769 491 NA NA NA NA
1617570000.0 508.0 78 0 NA NA NA NA 944 0 NA NA NA NA 513 367 NA NA NA NA 512 409 NA NA NA NA
1617570000.0 509.0 77 0 NA NA NA NA 944 0 NA NA NA NA 491 446 NA NA NA NA 539 490 NA NA NA NA
1617570000.0 511.0 63 0 NA NA NA NA 956 0 NA NA NA NA 28133 446 NA NA NA NA 28349 497 NA NA NA NA
1617570000.0 531.0 89 0 NA NA NA NA 1062 0 NA NA NA NA 612 460 NA NA NA NA 591 509 NA NA NA NA
1617570000.0 541.0 65 0 NA NA NA NA 949 0 NA NA NA NA 622 449 NA NA NA NA 661 508 NA NA NA NA
1617570000.0 545.0 58 0 NA NA NA NA 951 0 NA NA NA NA 1099 384 NA NA NA NA 887 435 NA NA NA NA
1617570000.0 546.0 74 71 NA NA NA NA 946 1003 NA NA NA NA 732 839 NA NA NA NA 757 876 NA NA NA NA
1617570000.0 560.0 58 0 NA NA NA NA 950 0 NA NA NA NA 622 448 NA NA NA NA 594 490 NA NA NA NA
1617570000.0 561.0 57 0 NA NA NA NA 944 0 NA NA NA NA 620 487 NA NA NA NA 593 556 NA NA NA NA
