Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617570000.0 10002.0 NA 198 363 0 81 167 NA 409 801 0 198 350 NA 2591 3079 922 635 1366 NA 1670 4299 1676 852 1872
1617570000.0 10003.0 NA 201 365 0 81 167 NA 396 827 0 202 338 NA 2630 2881 916 656 1217 NA 1630 4431 1527 927 2419
1617570000.0 10004.0 NA 193 364 0 82 142 NA 394 857 0 201 302 NA 2842 3035 919 610 1211 NA 2546 4512 1757 875 2478
1617570000.0 10005.0 NA 192 361 0 81 164 NA 398 798 0 201 353 NA 3069 3115 908 573 1468 NA 2466 5107 1403 955 2444
1617570000.0 10006.0 NA 198 363 0 80 136 NA 397 838 0 191 288 NA 2634 2823 928 544 1246 NA 1806 4224 1593 897 1737
1617570000.0 10007.0 NA 207 367 0 81 145 NA 393 805 0 194 311 NA 2926 2927 957 885 1310 NA 2232 4979 2188 2013 2687
1617570000.0 10008.0 NA 212 370 0 94 161 NA 400 664 0 192 332 NA 2721 3351 935 660 1313 NA 1509 4969 1653 1768 1875
1617570000.0 10009.0 NA 212 372 0 81 161 NA 419 801 0 194 346 NA 2741 3000 944 727 1421 NA 1962 4509 1603 969 2531
1617570000.0 1001.2 NA 415 147 0 NA NA NA 924 329 0 NA NA NA 16453 2658 133 NA NA NA 8021 1779 368 NA NA
1617570000.0 10023.0 NA 195 367 0 97 137 NA 397 819 0 199 287 NA 2740 3237 944 651 1258 NA 1747 4701 1333 1514 1754
1617570000.0 10024.4 NA 228 388 0 NA NA NA 418 820 0 NA NA NA 2887 3634 1044 NA NA NA 1691 4218 1649 NA NA
1617570000.0 10024.5 NA 228 385 0 NA NA NA 436 854 0 NA NA NA 2829 3459 1069 NA NA NA 1652 3943 1720 NA NA
1617570000.0 10071.0 NA 209 384 0 85 168 NA 414 800 0 204 349 NA 2690 3076 1032 656 1205 NA 1762 4574 1646 957 1715
1617570000.0 10424.0 NA 176 381 0 NA NA NA 351 761 0 NA NA NA 1479 3409 1059 NA NA NA 1961 4651 1480 NA NA
1617570000.0 10801.0 NA 208 362 0 81 146 NA 382 796 0 201 290 NA 2534 2947 907 696 1455 NA 1677 4110 1604 1136 2197
1617570000.0 10808.0 NA 204 365 0 81 164 NA 407 844 0 201 341 NA 2633 3139 949 650 1187 NA 1978 4490 1459 857 2420
1617570000.0 10809.0 NA 196 373 0 81 165 NA 397 808 0 192 352 NA 2727 3477 934 736 1399 NA 2421 5519 1722 1771 2280
1617570000.0 10823.0 NA 195 369 0 78 140 NA 397 825 0 191 299 NA 2655 2866 977 529 1109 NA 1794 3932 1514 812 1618
1617570000.0 10824.1 NA 196 386 0 NA NA NA 402 814 0 NA NA NA 2884 3453 1045 NA NA NA 2359 3467 1909 NA NA
1617570000.0 110.0 66 92 272 NA NA NA 168 201 607 NA NA NA 1234 802 3014 NA NA NA 1602 699 3952 NA NA NA
1617570000.0 111.0 67 92 281 NA NA NA 191 200 682 NA NA NA 1248 763 2813 NA NA NA 1575 584 2877 NA NA NA
1617570000.0 112.0 85 102 280 NA NA NA 223 210 643 NA NA NA 1933 1043 2828 NA NA NA 1646 883 2960 NA NA NA
1617570000.0 11224.0 NA 180 372 0 NA NA NA 356 763 0 NA NA NA 1468 3187 1066 NA NA NA 1134 4206 2119 NA NA
1617570000.0 11224.6 NA 178 380 0 NA NA NA 346 740 0 NA NA NA 1459 3255 1051 NA NA NA 1319 4952 1840 NA NA
1617570000.0 11634.1 NA 286 226 0 NA NA NA 532 465 0 NA NA NA 2851 2486 966 NA NA NA 3030 3737 1183 NA NA
1617570000.0 11723.17 NA 302 481 0 NA NA NA 518 863 0 NA NA NA 2684 5093 1688 NA NA NA 2891 5499 2834 NA NA
1617570000.0 119.0 90 98 286 NA NA NA 234 208 689 NA NA NA 2442 718 2616 NA NA NA 1781 548 3369 NA NA NA
1617570000.0 120.0 65 93 276 NA NA NA 189 196 606 NA NA NA 1566 1068 2742 NA NA NA 1313 723 3406 NA NA NA
1617570000.0 12034.0 NA 290 470 0 NA NA NA 524 812 0 NA NA NA 2674 3971 1612 NA NA NA 2775 5605 2688 NA NA
1617570000.0 121.0 84 117 289 NA NA NA 231 211 593 NA NA NA 3203 944 2987 NA NA NA 1793 673 3460 NA NA NA
1617570000.0 122.0 70 92 269 NA NA NA 195 195 601 NA NA NA 1497 792 2663 NA NA NA 1376 1036 2942 NA NA NA
1617570000.0 1302.18 72 201 206 131 168 NA 183 407 742 277 353 NA 3211 2559 2312 1762 1419 NA 2220 1543 2681 2924 2044 NA
1617570000.0 1302.181 74 193 199 137 171 NA 185 385 721 286 351 NA 3397 2975 2355 1537 1696 NA 2538 2039 2382 2240 3211 NA
1617570000.0 1304.18 70 188 193 133 167 NA 173 386 720 276 351 NA 2268 2679 2158 1343 1419 NA 2165 1738 2171 2051 2460 NA
1617570000.0 1310.0 NA 146 324 0 NA NA NA 345 725 0 NA NA NA 1718 3293 807 NA NA NA 1465 4067 924 NA NA
1617570000.0 1312.0 NA 153 324 0 NA NA NA 352 642 0 NA NA NA 1771 2830 818 NA NA NA 1917 4372 895 NA NA
1617570000.0 1313.0 NA 165 335 0 NA NA NA 351 692 0 NA NA NA 2068 3181 824 NA NA NA 1508 3948 1050 NA NA
1617570000.0 1314.0 NA 162 323 0 NA NA NA 352 673 0 NA NA NA 1858 3048 814 NA NA NA 1624 4756 1253 NA NA
1617570000.0 1317.0 NA 140 314 0 166 NA NA 328 640 0 341 NA NA 1510 2541 732 1254 NA NA 1529 4099 2036 3041 NA
1617570000.0 1318.0 NA 141 309 0 150 NA NA 334 700 0 321 NA NA 1529 2582 711 1336 NA NA 1653 4585 1827 1866 NA
1617570000.0 1320.0 NA 148 306 0 146 NA NA 346 642 0 314 NA NA 1525 2468 745 1117 NA NA 1237 3741 1998 1774 NA
1617570000.0 1321.0 NA 153 307 0 157 NA NA 340 665 0 343 NA NA 1653 2776 743 1218 NA NA 1383 3888 1135 2679 NA
1617570000.0 1322.0 NA 147 316 0 164 NA NA 340 661 0 351 NA NA 1614 2653 731 1476 NA NA 1181 3650 1260 2303 NA
1617570000.0 1324.0 NA 161 325 0 NA NA NA 347 706 0 NA NA NA 1702 2960 833 NA NA NA 1597 3667 944 NA NA
1617570000.0 1325.0 NA 149 328 0 70 165 NA 348 657 0 182 345 NA 1645 3005 843 632 1223 NA 1842 5500 1199 940 1724
1617570000.0 1325.2 NA 148 322 0 NA NA NA 340 663 0 NA NA NA 1760 2964 850 NA NA NA 1729 4717 1568 NA NA
1617570000.0 1325.4 NA 145 329 0 NA NA NA 340 671 0 NA NA NA 1743 2930 814 NA NA NA 1687 4257 879 NA NA
1617570000.0 1325.6 NA 207 NA NA NA NA NA 399 NA NA NA NA NA 4731 NA NA NA NA NA 4416 NA NA NA NA
1617570000.0 1325.61 NA 196 NA NA NA NA NA 387 NA NA NA NA NA 4072 NA NA NA NA NA 4177 NA NA NA NA
1617570000.0 1327.0 NA 146 320 0 NA NA NA 348 663 0 NA NA NA 1814 3276 796 NA NA NA 2155 4861 3569 NA NA
1617570000.0 1329.0 NA 145 319 0 172 NA NA 335 639 0 347 NA NA 1502 2819 813 1212 NA NA 1244 4143 1968 1968 NA
1617570000.0 1330.0 NA 164 341 0 167 NA NA 352 668 0 340 NA NA 1695 2740 851 1234 NA NA 1534 3439 1963 2544 NA
1617570000.0 1331.0 NA 144 314 0 170 NA NA 337 628 0 349 NA NA 1600 2727 813 1222 NA NA 1596 4444 1989 3038 NA
1617570000.0 1333.0 NA 143 318 0 NA NA NA 340 648 0 NA NA NA 1683 2751 795 NA NA NA 1637 3634 1774 NA NA
1617570000.0 1334.0 NA 160 323 0 NA NA NA 351 702 0 NA NA NA 1852 3525 830 NA NA NA 1376 4862 1557 NA NA
1617570000.0 1336.0 NA 171 331 0 NA NA NA 355 704 0 NA NA NA 1882 3844 863 NA NA NA 1748 3943 1794 NA NA
1617570000.0 1337.0 NA 172 340 0 NA NA NA 359 668 0 NA NA NA 1757 3771 880 NA NA NA 1405 4592 1962 NA NA
1617570000.0 1338.0 NA 164 325 0 165 NA NA 351 662 0 344 NA NA 1613 2868 843 1275 NA NA 1780 3341 1981 2851 NA
1617570000.0 1339.0 NA 165 328 0 NA NA NA 349 649 0 NA NA NA 1939 3035 842 NA NA NA 1898 4096 1227 NA NA
1617570000.0 134.0 NA 290 48 0 NA NA NA 662 142 0 NA NA NA 5280 221 96 NA NA NA 5827 480 265 NA NA
1617570000.0 134.902 NA 35 316 0 NA NA NA 145 629 0 NA NA NA 293 6948 565 NA NA NA 577 4511 745 NA NA
1617570000.0 1341.0 NA 171 335 0 NA NA NA 357 676 0 NA NA NA 1895 3511 884 NA NA NA 1885 4871 1177 NA NA
1617570000.0 1345.0 NA 153 326 0 NA NA NA 343 684 0 NA NA NA 1770 3110 831 NA NA NA 1414 4192 1750 NA NA
1617570000.0 1355.0 NA 165 321 0 NA NA NA 349 634 0 NA NA NA 1677 3120 802 NA NA NA 1133 4813 1430 NA NA
1617570000.0 1356.0 85 141 318 0 132 NA 211 325 667 0 275 NA 1869 1691 2798 784 1546 NA 1561 1899 4612 1324 2274 NA
1617570000.0 136.762 NA 96 389 0 NA NA NA 210 769 0 NA NA NA 894 22453 624 NA NA NA 794 10545 1467 NA NA
1617570000.0 136.781 NA 114 421 0 NA NA NA 228 822 0 NA NA NA 1476 18149 694 NA NA NA 1844 7494 996 NA NA
1617570000.0 136.782 NA 115 417 0 NA NA NA 231 888 0 NA NA NA 1065 18385 696 NA NA NA 983 9149 1048 NA NA
1617570000.0 136.784 NA 114 427 0 NA NA NA 234 929 0 NA NA NA 849 17812 696 NA NA NA 1232 7350 928 NA NA
1617570000.0 136.786 NA 108 421 0 NA NA NA 228 914 0 NA NA NA 1290 18292 709 NA NA NA 1464 7655 1279 NA NA
1617570000.0 136.787 NA 113 475 0 NA NA NA 233 969 0 NA NA NA 1043 17546 664 NA NA NA 1316 7462 715 NA NA
1617570000.0 136.788 NA 123 437 0 NA NA NA 229 938 0 NA NA NA 847 19663 705 NA NA NA 1142 9218 1311 NA NA
1617570000.0 136.803 NA 116 353 0 NA NA NA 241 798 0 NA NA NA 1026 4463 595 NA NA NA 1157 4634 1015 NA NA
1617570000.0 136.812 NA 116 444 0 NA NA NA 245 977 0 NA NA NA 1079 16761 710 NA NA NA 1500 6875 3534 NA NA
1617570000.0 136.817 NA 115 432 0 NA NA NA 235 946 0 NA NA NA 960 19382 727 NA NA NA 1116 9198 1388 NA NA
1617570000.0 136.822 NA 115 426 0 NA NA NA 227 883 0 NA NA NA 990 18868 703 NA NA NA 1121 9126 1017 NA NA
1617570000.0 136.837 NA 112 477 0 NA NA NA 241 926 0 NA NA NA 1037 16666 675 NA NA NA 1341 6877 738 NA NA
1617570000.0 136.852 NA 111 438 0 NA NA NA 233 955 0 NA NA NA 964 17274 684 NA NA NA 1139 7172 733 NA NA
1617570000.0 136.859 NA 115 438 0 NA NA NA 236 954 0 NA NA NA 952 18850 688 NA NA NA 1000 9348 764 NA NA
1617570000.0 136.86 NA 114 417 0 NA NA NA 240 932 0 NA NA NA 1147 15243 679 NA NA NA 1454 6927 752 NA NA
1617570000.0 136.861 NA 112 424 0 NA NA NA 239 867 0 NA NA NA 990 18678 718 NA NA NA 1163 9200 1203 NA NA
1617570000.0 136.873 NA 109 420 0 NA NA NA 233 910 0 NA NA NA 982 17768 699 NA NA NA 958 7994 1364 NA NA
1617570000.0 136.875 NA 110 414 0 NA NA NA 239 912 0 NA NA NA 1222 18201 704 NA NA NA 1388 8496 1294 NA NA
1617570000.0 136.879 NA 124 476 0 NA NA NA 237 973 0 NA NA NA 931 17558 708 NA NA NA 1246 9816 1458 NA NA
1617570000.0 136.887 NA 112 417 0 NA NA NA 235 871 0 NA NA NA 1004 17375 709 NA NA NA 969 7843 922 NA NA
1617570000.0 136.893 NA 108 433 0 NA NA NA 236 976 0 NA NA NA 1014 19080 684 NA NA NA 1206 9262 778 NA NA
1617570000.0 1360.0 66 124 313 0 NA NA 174 265 640 0 NA NA 2371 869 2673 712 NA NA 3111 1111 3172 762 NA NA
1617570000.0 1361.0 90 158 325 0 NA NA 228 333 649 0 NA NA 4242 1683 3077 835 NA NA 3443 1369 4371 1293 NA NA
1617570000.0 1365.0 NA 162 318 0 NA NA NA 348 646 0 NA NA NA 1783 2997 833 NA NA NA 1496 4237 1508 NA NA
1617570000.0 139902.0 NA 166 330 0 NA NA NA 347 660 0 NA NA NA 1762 3135 872 NA NA NA 1413 3975 1145 NA NA
1617570000.0 13992501.0 NA 285 550 0 NA NA NA 580 935 0 NA NA NA 4255 5477 951 NA NA NA 3170 5369 1970 NA NA
1617570000.0 13992502.0 NA 295 537 0 NA NA NA 557 919 0 NA NA NA 4376 5797 934 NA NA NA 3103 5590 1417 NA NA
1617570000.0 140.56 NA 676 0 NA NA NA NA 1118 0 NA NA NA NA 21077 651 NA NA NA NA 9664 1158 NA NA NA
1617570000.0 144.6 NA 281 NA NA NA NA NA 636 NA NA NA NA NA 4057 NA NA NA NA NA 4199 NA NA NA NA
1617570000.0 148.0 88 194 383 0 NA NA 202 353 780 0 NA NA 6322 1030 3544 1009 NA NA 6077 1266 4496 2108 NA NA
1617570000.0 149.0 68 174 368 0 NA NA 170 343 816 0 NA NA 1624 1454 3286 963 NA NA 1601 1391 4322 1160 NA NA
1617570000.0 158.1 NA 221 378 0 NA NA NA 444 803 0 NA NA NA 1812 3322 1012 NA NA NA 2364 4302 2241 NA NA
1617570000.0 158.2 NA 217 371 0 NA NA NA 445 842 0 NA NA NA 1767 3229 948 NA NA NA 1958 4789 1113 NA NA
1617570000.0 158.3 NA 220 368 0 NA NA NA 451 869 0 NA NA NA 1832 3324 971 NA NA NA 1550 4359 1137 NA NA
1617570000.0 159.0 73 137 354 67 0 NA 170 275 763 172 0 NA 2625 809 2714 636 1007 NA 3124 1573 3549 1151 3330 NA
1617570000.0 159.1 68 133 340 0 NA NA 160 275 785 0 NA NA 1099 764 2675 940 NA NA 1659 1112 3903 2108 NA NA
1617570000.0 159.2 68 137 351 0 NA NA 156 285 741 0 NA NA 1045 720 2837 918 NA NA 1278 919 3641 1822 NA NA
1617570000.0 159.3 69 153 345 0 NA NA 161 279 775 0 NA NA 1063 726 2698 931 NA NA 1574 1119 3419 1163 NA NA
1617570000.0 159.4 67 135 355 0 NA NA 159 276 782 0 NA NA 1036 837 3316 912 NA NA 1322 1328 4611 1082 NA NA
1617570000.0 200.0 NA 162 342 0 NA NA NA 291 765 0 NA NA NA 1355 3373 860 NA NA NA 1541 4654 2529 NA NA
1617570000.0 202.0 NA 162 364 0 NA NA NA 324 782 0 NA NA NA 1504 3708 933 NA NA NA 1484 5074 1477 NA NA
1617570000.0 203.0 NA 163 351 0 NA NA NA 310 755 0 NA NA NA 1487 3411 861 NA NA NA 1886 4526 1031 NA NA
1617570000.0 204.0 83 154 357 0 NA NA 233 297 706 0 NA NA 2507 1727 3598 900 NA NA 2164 1313 5029 1031 NA NA
1617570000.0 205.0 NA 155 353 0 NA NA NA 306 707 0 NA NA NA 1389 3734 874 NA NA NA 1339 4304 3119 NA NA
1617570000.0 23234.0 NA 325 448 0 NA NA NA 525 758 0 NA NA NA 2932 5036 970 NA NA NA 2289 5544 1311 NA NA
1617570000.0 23234.103 NA 334 436 0 NA NA NA 534 797 0 NA NA NA 4091 4831 961 NA NA NA 2689 5032 1395 NA NA
1617570000.0 23234.9 NA 335 448 0 NA NA NA 537 788 0 NA NA NA 2934 5004 973 NA NA NA 1965 5052 2385 NA NA
1617570000.0 23461.97 914 NA NA NA NA NA 1442 NA NA NA NA NA 14413 NA NA NA NA NA 8198 NA NA NA NA NA
1617570000.0 250199.18 391 NA NA NA NA NA 633 NA NA NA NA NA 6560 NA NA NA NA NA 3552 NA NA NA NA NA
1617570000.0 25202.1 NA 333 529 0 NA NA NA 605 901 0 NA NA NA 5268 5000 911 NA NA NA 3447 5641 1319 NA NA
1617570000.0 25202.15 NA 298 549 0 194 NA NA 592 952 0 371 NA NA 4159 5645 942 1608 NA NA 3201 6173 1415 2403 NA
1617570000.0 25202.2 NA 331 531 0 NA NA NA 580 992 0 NA NA NA 5099 5128 951 NA NA NA 3361 5504 2336 NA NA
1617570000.0 25204.0 NA 302 527 0 NA NA NA 569 941 0 NA NA NA 4133 5226 906 NA NA NA 3185 5113 1193 NA NA
1617570000.0 25207.0 NA 312 541 0 NA NA NA 558 882 0 NA NA NA 4276 5371 837 NA NA NA 3269 5161 995 NA NA
1617570000.0 25208.0 NA 311 567 0 NA NA NA 581 963 0 NA NA NA 4362 6593 974 NA NA NA 3215 6080 1137 NA NA
1617570000.0 25210.0 72 255 481 0 NA NA 189 457 836 0 NA NA 2865 2354 3435 826 NA NA 3108 2407 4319 987 NA NA
1617570000.0 25214.0 NA 296 553 0 NA NA NA 556 988 0 NA NA NA 4158 5569 942 NA NA NA 3221 5021 1265 NA NA
1617570000.0 25400.18 1052 0 128 NA NA NA 1562 0 260 NA NA NA 6624 695 2096 NA NA NA 4395 1245 2297 NA NA NA
1617570000.0 25403.18 1064 0 138 NA NA NA 1563 0 267 NA NA NA 6725 666 1224 NA NA NA 3769 992 994 NA NA NA
1617570000.0 25405.17 1107 0 127 NA NA NA 1558 0 272 NA NA NA 6753 649 1268 NA NA NA 4742 760 1179 NA NA NA
1617570000.0 25408.17 1119 0 137 NA NA NA 1564 0 260 NA NA NA 8272 758 1360 NA NA NA 3764 2103 1332 NA NA NA
1617570000.0 281.0 92 163 339 0 NA NA 319 366 668 0 NA NA 2563 1788 2679 834 NA NA 2042 1355 4507 1124 NA NA
1617570000.0 300.0 68 163 406 0 NA NA 194 344 875 0 NA NA 964 1090 3347 1041 NA NA 1599 2090 4093 2116 NA NA
