Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617570000.0 1.0 74 91 184 NA NA NA 212 191 528 NA NA NA 3771 604 1968 NA NA NA 3808 646 2583 NA NA NA
1617570000.0 10001.0 NA 196 366 0 83 142 NA 384 783 0 191 281 NA 2625 2402 631 511 935 NA 1665 3675 1145 1448 1295
1617570000.0 10003.0 NA 194 373 0 98 164 NA 395 795 0 191 342 NA 3185 3265 663 501 918 NA 3237 4699 1867 1016 1648
1617570000.0 10042.0 NA 209 380 0 82 166 NA 392 794 0 187 342 NA 3381 2844 702 557 843 NA 3239 5919 1706 1260 1488
1617570000.0 10071.0 NA 197 377 0 83 170 NA 390 793 0 187 349 NA 2695 3015 696 582 861 NA 1744 5256 1787 1328 1382
1617570000.0 101.0 87 NA NA NA NA NA 213 NA NA NA NA NA 792 NA NA NA NA NA 1154 NA NA NA NA NA
1617570000.0 102.0 85 NA NA NA NA NA 213 NA NA NA NA NA 694 NA NA NA NA NA 1122 NA NA NA NA NA
1617570000.0 10224.0 NA 387 599 0 168 NA NA 592 1036 0 345 NA NA 4841 4916 715 996 NA NA 2749 7279 1424 1631 NA
1617570000.0 10224.15 NA 367 599 0 195 NA NA 612 1066 0 366 NA NA 4731 4906 714 1142 NA NA 2764 5330 1236 2112 NA
1617570000.0 10225.0 NA 357 566 0 169 NA NA 596 994 0 347 NA NA 4809 4526 702 887 NA NA 3926 6217 1175 1467 NA
1617570000.0 103.0 55 0 0 NA NA NA 157 0 0 NA NA NA 993 157 2197 NA NA NA 1387 552 2992 NA NA NA
1617570000.0 106.0 58 0 0 NA NA NA 159 0 0 NA NA NA 1217 174 1606 NA NA NA 2288 916 3007 NA NA NA
1617570000.0 10803.0 NA 188 370 0 81 167 NA 369 847 0 190 334 NA 2621 2762 672 463 911 NA 1759 5200 1523 1053 1813
1617570000.0 10808.0 NA 198 365 0 81 165 NA 370 786 0 188 340 NA 2817 2690 677 466 866 NA 2082 3739 1239 1029 1703
1617570000.0 10809.0 NA 198 369 0 82 165 NA 384 766 0 188 339 NA 2851 2709 672 773 971 NA 2369 5003 1298 1556 1547
1617570000.0 10824.0 NA 192 384 0 89 168 NA 388 774 0 187 342 NA 2563 3074 691 475 918 NA 1482 3998 1176 946 1996
1617570000.0 10824.1 NA 192 386 0 NA NA NA 388 879 0 NA NA NA 2675 3219 702 NA NA NA 2067 4505 1615 NA NA
1617570000.0 10824.8 NA 214 379 0 83 168 NA 397 803 0 191 331 NA 2511 3181 706 461 755 NA 1324 4798 1724 1122 1514
1617570000.0 10859.0 NA 217 391 0 83 171 NA 393 794 0 189 346 NA 2583 3566 695 480 1025 NA 2614 4469 1585 1162 1922
1617570000.0 110.0 65 92 278 NA NA NA 163 195 675 NA NA NA 948 799 2203 NA NA NA 965 882 3643 NA NA NA
