Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617613200.0 10026.0 NA 225 386 0 86 167 NA 427 804 0 195 350 NA 3634 4861 1263 695 1481 NA 3397 8136 3038 1042 2150
1617613200.0 106.0 55 0 0 NA NA NA 156 0 0 NA NA NA 1102 191 2994 NA NA NA 1756 467 3777 NA NA NA
1617613200.0 120.0 62 91 273 NA NA NA 180 197 623 NA NA NA 1465 833 3334 NA NA NA 1587 871 3114 NA NA NA
1617613200.0 125.0 84 108 283 NA NA NA 219 196 636 NA NA NA 4556 817 3902 NA NA NA 4040 732 4093 NA NA NA
1617613200.0 128.0 63 100 280 NA NA NA 159 196 630 NA NA NA 1106 846 3364 NA NA NA 1814 772 3320 NA NA NA
1617613200.0 136.8561 NA 91 340 0 NA NA NA 218 793 0 NA NA NA 678 3279 492 NA NA NA 874 4034 727 NA NA
1617613200.0 144.6 NA 280 NA NA NA NA NA 596 NA NA NA NA NA 5305 NA NA NA NA NA 4985 NA NA NA NA
1617613200.0 281.0 97 157 339 0 NA NA 324 352 659 0 NA NA 2606 1630 2101 497 NA NA 2087 1722 3175 1586 NA NA
1617613200.0 3.0 71 113 206 NA NA NA 198 197 543 NA NA NA 11391 713 3190 NA NA NA 8134 621 2798 NA NA NA
1617613200.0 4000.0 NA 119 303 NA NA NA NA 234 681 NA NA NA NA 3266 7842 NA NA NA NA 2032 6175 NA NA NA
1617613200.0 516.0 19 43 0 NA NA NA 87 118 0 NA NA NA 13809 413 273 NA NA NA 26021 839 681 NA NA NA
1617613200.0 518.0 19 40 0 NA NA NA 87 118 0 NA NA NA 12702 430 268 NA NA NA 25066 823 644 NA NA NA
1617613200.0 519.0 18 41 0 NA NA NA 87 120 0 NA NA NA 12414 436 268 NA NA NA 23948 859 675 NA NA NA
1617613200.0 521.0 19 50 0 NA NA NA 87 114 0 NA NA NA 13877 339 268 NA NA NA 26021 961 731 NA NA NA
1617613200.0 523.0 19 47 0 NA NA NA 86 112 0 NA NA NA 1350 387 272 NA NA NA 5172 842 641 NA NA NA
1617613200.0 526.0 19 37 0 NA NA NA 87 109 0 NA NA NA 12863 341 269 NA NA NA 24894 789 669 NA NA NA
1617613200.0 528.0 19 38 0 NA NA NA 87 114 0 NA NA NA 13786 333 272 NA NA NA 26021 882 668 NA NA NA
1617613200.0 7.1 57 85 127 54 0 NA 154 176 291 154 0 NA 2275 720 1283 547 453 NA 2942 483 891 847 635 NA
